tweets,Twitter id,URLs,hashtags,date,source,likes,retweets,Location
"Banks To Remain Closed On These Days In November, December https://t.co/5jWrjYcfrK",1189140588240654336,"[{'url': 'https://t.co/5jWrjYcfrK', 'expanded_url': 'https://www.ndtv.com/business/bank-holidays-in-october-november-december-2019-check-full-list-bank-holiday-in-india-bank-schedule-2124030', 'display_url': 'ndtv.com/business/bank-…', 'indices': [59, 82]}]",[],2019-10-29 11:23:04,Twitter Web App,17,6,
Cabinet Secretary-Led Group To Look Into Telecom Sector Woes: Official https://t.co/3X9ZfqPmNi,1189138713197989888,"[{'url': 'https://t.co/3X9ZfqPmNi', 'expanded_url': 'https://www.ndtv.com/business/cabinet-secretary-led-group-to-look-into-telecom-sector-woes-financial-stress-official-2124121', 'display_url': 'ndtv.com/business/cabin…', 'indices': [71, 94]}]",[],2019-10-29 11:15:37,Twitter Web App,17,1,
"Sensex Closes 582 Points Higher, Nifty Settles At 11,787 https://t.co/f6kesczjPi",1189126101475266560,"[{'url': 'https://t.co/f6kesczjPi', 'expanded_url': 'https://www.ndtv.com/business/share-markets-on-october-29-closing-bell-sensex-nifty-live-movements-stock-markets-2124083', 'display_url': 'ndtv.com/business/share…', 'indices': [57, 80]}]",[],2019-10-29 10:25:30,Twitter Web App,21,4,
"Sensex Soars 490 Points, Nifty Hits 11,750 As Banking, Auto Stocks Jump
https://t.co/ik73Go9uR8",1189064105052651520,"[{'url': 'https://t.co/ik73Go9uR8', 'expanded_url': 'https://www.ndtv.com/business/bse-sensex-live-market-update-sensex-soars-450-points-nifty-hits-11750-as-banking-auto-stocks-jump-2123946', 'display_url': 'ndtv.com/business/bse-s…', 'indices': [72, 95]}]",[],2019-10-29 06:19:09,Twitter Web App,20,8,
"Tata Motors Shares Hit Over Three-Month High
https://t.co/4WmqlBOB5l",1189056555661946880,"[{'url': 'https://t.co/4WmqlBOB5l', 'expanded_url': 'https://www.ndtv.com/business/tata-motors-share-price-tata-motors-q2-earnings-tata-motors-shares-hit-over-three-month-high-2123923', 'display_url': 'ndtv.com/business/tata-…', 'indices': [45, 68]}]",[],2019-10-29 05:49:09,Twitter Web App,3,1,
"Rupee Gains By 18 Paise Against US Dollar
https://t.co/K0b3t8Gc7B",1189036328077258753,"[{'url': 'https://t.co/K0b3t8Gc7B', 'expanded_url': 'https://www.ndtv.com/business/rupee-vs-dollar-currency-exchange-rate-today-october-29-rupee-moves-to-near-one-month-high-2123878', 'display_url': 'ndtv.com/business/rupee…', 'indices': [42, 65]}]",[],2019-10-29 04:28:46,Twitter Web App,94,11,
"Sensex Rises Over 100 Points, Nifty Hits 11,650 In Early Trade
https://t.co/wCtxB3dk27",1189032957035417600,"[{'url': 'https://t.co/wCtxB3dk27', 'expanded_url': 'https://www.ndtv.com/business/bse-sensex-live-market-updates-sensex-nifty-likely-to-open-higher-today-sbi-tata-motors-in-focus-2123872', 'display_url': 'ndtv.com/business/bse-s…', 'indices': [63, 86]}]",[],2019-10-29 04:15:22,Twitter Web App,18,1,
"Bharti Airtel Defers September Quarter Earnings Announcement, Shares Fall
https://t.co/dEqQucBn5y",1189032678420443138,"[{'url': 'https://t.co/dEqQucBn5y', 'expanded_url': 'https://www.ndtv.com/business/bharti-airtel-share-price-airtel-q2-earnings-airtel-defers-september-quarter-earnings-announcement-2123889', 'display_url': 'ndtv.com/business/bhart…', 'indices': [74, 97]}]",[],2019-10-29 04:14:16,Twitter Web App,25,5,
"Sensex rises over 100 points, Nifty crosses 11,650 mark; auto, metal stocks lead gains #Sensex #Nifty #MarketUpdates",1189029267000004609,[],"[{'text': 'Sensex', 'indices': [87, 94]}, {'text': 'Nifty', 'indices': [95, 101]}, {'text': 'MarketUpdates', 'indices': [102, 116]}]",2019-10-29 04:00:43,Twitter Web App,32,5,
"Metals Tycoon Sanjeev Gupta To Merge Steel Operations Ahead Of Possible IPO
https://t.co/dhvXqax7R3",1189015092987228160,"[{'url': 'https://t.co/dhvXqax7R3', 'expanded_url': 'https://www.ndtv.com/business/sanjeev-gupta-news-metals-tycoon-sanjeev-gupta-to-merge-steel-operations-ahead-of-possible-ipo-2123868', 'display_url': 'ndtv.com/business/sanje…', 'indices': [76, 99]}]",[],2019-10-29 03:04:23,Twitter Web App,36,5,
Aviation Regulator Orders IndiGo To Modify Pratt &amp; Whitney Engines Within 15 Days https://t.co/KVuzqmpORK,1188843558490394625,"[{'url': 'https://t.co/KVuzqmpORK', 'expanded_url': 'https://www.ndtv.com/business/aviation-regulator-orders-indigo-to-modify-pratt-whitney-engines-within-15-days-2123774', 'display_url': 'ndtv.com/business/aviat…', 'indices': [86, 109]}]",[],2019-10-28 15:42:46,Twitter Web App,3,0,
